`,holderstaffflag,policyriskcommencementdate,policytechnicalid_m,holdertechnicalid_m,contactcity_m,contactareatype_m,policy_annualized_premium,contactpostcode_m,policybenefitterm,policynumber_m,agentownlifeflag,channeltype_m,contactstate_m,banktechnicalid_m,channeltechnicalid_m,serviceregionnameops_m,edc,requirementnonmedicalflag,underwritingdecisionstatus_m,policytype_m,productplan,um_bdm_code_m,premiumpaymentfrequency_m,servicebranchops_m,policytypesub_m,policy_sum_assured,hniflag,underwritingexpressflag,vedc,productid_m,requirementmedicalflag,nomineerelation_m,holdermaritalstatus,holdereducation,holdercountry_m,beneficiaryrelation_m,lifeassuredrelation_m,lifeassuredgender_m,natureofduties,holdernationalite,holderqualification,gogreenflag,preferredlanguage_m,holder_annual_income,panverified,holderoccupation,premiumpaymentfrequency
4712,No,2/2/21,ba0393349d,5f19f694a0,184985,58,100000,265549,15,d1183b95c0,N,e62e,766048,0887ba,fe6cc079fd,047e,0,1,a48c,c4e8,Series 2,5036491,d4cd,00d602,c4e8,0,N,0,0,2734,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,ASSISTANT MANAGER,,Post Graduate,N,GUJARATI,600000,N,Service,Yearly
4713,No,6/2/21,a9efe8f85e,55fa6e99df,6b5437,58,31297.24,795751,12,6953d67937,N,f3e3,b78361,c7d5af,6b21c88621,f7b0,0,0,a48c,2ed4,Endowment Plan - Series 4,5,bf55,79a06f,803,340000,N,0,0,1bb6,0,c7,Married,Intermediate (10+2),INDIA,a9,a9,aa,KR ENTERPRISES,,HSC,N,HINDI,350000,N,Business,Half yearly
4714,No,2/2/21,a73eefd208,b2a0da8458,d96a8f,58,51125,177295,15,d1a2dd747a,N,e62e,b629fd,868654,9b35f47357,b629,0,1,a48c,2ed4,Series 3,5184890,d4cd,bda6d4,803,385000,N,0,0,56ca,0,fc,Married,Graduate,INDIA,a9,a9,aa,BUSINESS PROPRIETOR,,Graduate,N,TELGU,672000,N,Business,Yearly
4715,No,8/2/21,eb74bbc288,d2cde11273,701784,58,50000,756593,12,be6b769445,N,e62e,b78361,7e14c6,bbac2ec163,f7b0,0,1,a48c,c4e8,Series 2,9981574,d4cd,800dc7,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,JOURNAL FITTER,,Graduate,N,HINDI,600000,N,Service,Yearly
4716,No,3/2/21,f5b38bd23f,3f2e2cc301,246d32,,30000,818117,12,8a103cacf0,N,e62e,aedf2f,64b256,2577bf669b,c586,0,1,edce,c4e8,Series 2,9933941,d4cd,,c4e8,300000,N,0,0,efc5,1,1f,Married,,INDIA,a9,a9,aa,ASSISTANT TEACHER,,12th Pass/HSC,N,HINDI,1032000,N,Service,Yearly
4717,No,4/2/21,4d49fc7c67,8c5e48501f,972b01,58,5000,125585,10,605920ad99,N,331f,b629fd,7e495a,420ec8f0a9,b629,0,1,edce,2ed4,Series 2,9924130,d4cd,90e913,5743,400000,N,0,0,b68b,0,12,Married,Graduate,INDIA,a9,a9,aa,SOFTWARE DEVELOPER,,Graduate,N,TELGU,800000,N,Service,Yearly
4718,No,9/2/21,b4a47d3df1,cc27835e54,3d7c89,58,84000,747657,20,15bc018582,N,331f,b78361,7e495a,9e2fbb22f2,f7b0,0,,edce,c4e8,Series 3,5954884,124d,ef6465,c4e8,840000,N,0,0,d2a9,1,3d,Married,School (upto 10th),INDIA,a9,a9,aa,BUSINESS OWNER,,SSC,N,HINDI,360000,N,Business,Quarterly
4719,No,4/2/21,4721108827,0de8811089,05a1d9,58,50000,263825,10,d13bc70091,N,331f,766048,7e495a,ac641d88fa,047e,0,0,edce,c4e8,Series 2,5103847,d4cd,804051,c4e8,0,N,0,0,2734,0,71,Married,,INDIA,a9,a9,aa,RETIRED,,12th Pass/HSC,N,GUJARATI,720096,N,Retired,Yearly
4720,No,4/2/21,6593786521,f1cc94618b,bb94da,58,100000,797413,10,a63d028b20,N,e62e,b78361,beaadb,024f23fac3,f7b0,0,1,edce,c4e8,Series 2,5187180,d4cd,79a06f,c4e8,0,N,0,0,2734,0,3d,Married,Graduate,INDIA,a9,a9,aa,RETIRED,,Graduate,N,HINDI,720000,N,Retired,Yearly
4721,No,2/2/21,44a6df1e25,fd69f8aafd,88cae7,58,50000,808887,10,42b3057c5c,N,e62e,acb844,27fa17,4af8002ddf,c586,0,0,a48c,c4e8,Series 2,5044568,d4cd,4a3ec2,c4e8,0,N,0,0,2734,0,3d,widowed,Graduate,INDIA,a9,a9,9c,SELF-EMPLOYED,,Graduate,N,HINDI,600000,N,Self-Employed,Yearly
4722,No,2/2/21,d2239e5c56,f1cf6e50a7,d96a8f,58,50000,177559,12,d43aba9dca,N,e62e,b629fd,b6280d,720154af5f,b629,0,0,a48c,c4e8,Series 2,9503322,d4cd,bda6d4,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,SECURITY OFFICER,,Graduate,N,TELGU,720000,N,Service,Yearly
4723,No,3/2/21,2b10659552,43182b35ce,4b1c49,2483,29367.4,778910,15,a5ff1c3998,N,e62e,b78361,59fa46,d117cba338,f7b0,0,1,edce,803,Series 3,5323476,d4cd,79a06f,803,228000,N,0,0,5876,0,1f,Married,Graduate,INDIA,a9,a9,aa,POLICE,,Graduate,N,ENGLISH,500000,N,Service,Yearly
4724,No,3/2/21,33dcdb5d7d,c01a2b2ca3,b2a2e2,58,500000,847520,10,f41c14fda3,N,e62e,aedf2f,29dbab,2baac30b48,c586,0,1,edce,c4e8,Series 2,9758894,d4cd,5d949d,c4e8,0,Y,0,0,2734,0,1b,Married,Graduate,INDIA,a9,a9,9c,PA,,Graduate,N,ENGLISH,3000000,N,Retired,Yearly
4725,No,2/2/21,7de2d602de,1a31aa12b0,abab0e,2483,20000,862227,10,04fb2ab017,N,331f,aedf2f,7e495a,71cc39851b,c586,0,0,a48c,c4e8,Plan T - Series 2,9982162,d4cd,fe263b,c4e8,200000,N,0,0,e548,0,fc,Married,Intermediate (10+2),INDIA,a9,a9,aa,GRAIN TRADER,,HSC,N,HINDI,300000,N,Business,Yearly
4726,No,16/2/21,e66ecde469,9d9468c78d,5.99E+04,2483,16963.1,298576,36,d64722e7e8,N,331f,f114ce,7e495a,b20e01a810,eca2,0,1,edce,2ed4,Level Term Assurance - Series 6,9256331,d4cd,d618ff,5743,5000000,N,0,0,8fe6,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,ACCOUNTS ASSISTANT,,Post Graduate,N,HINDI,488592,N,Service,Yearly
4727,No,22/1/21,bdf547dc98,5109f9f5e5,29d6d1,2483,50000,732917,10,6a631327d8,N,331f,b78361,7e495a,b263666196,f7b0,0,0,a48c,c4e8,Series 2,5375627,d4cd,aebe24,c4e8,0,N,0,0,2734,0,c7,Married,Intermediate (10+2),INDIA,a9,a9,9c,KIRANA SHOP,,HSC,N,HINDI,300000,N,Business,Yearly
4728,No,22/1/21,d4c7d44396,af8d586008,abab0e,2483,50000,862159,10,693b6448db,N,f3e3,aedf2f,22fb86,be32a8fd26,c586,0,0,a48c,c4e8,Series 2,5,d4cd,0ad84d,c4e8,0,N,0,0,2734,0,fc,Married,Intermediate (10+2),INDIA,a9,a9,aa,TRADERS WORK,,HSC,N,HINDI,360000,N,Business,Yearly
4729,No,22/1/21,23822b8311,26182a186f,da9107,58,5000,774557,10,df09cea4b0,N,331f,b78361,7e495a,990e399395,f7b0,0,1,edce,2ed4,Series 2,9769202,d4cd,56cf49,5743,65000,N,0,0,b68b,0,46,Single,Graduate,INDIA,a9,a9,aa,,,Graduate,N,ENGLISH,240000,N,Profession,Yearly
4730,No,3/2/21,a8c924b55c,dce9bfcd2f,4f1857,2483,50000,738254,12,3c0e8ab6a6,N,331f,b78361,7e495a,3325dbdaa9,f7b0,0,1,edce,c4e8,Series 2,5228735,d4cd,971ffa,c4e8,500000,N,0,0,efc5,0,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,HINDI,300000,N,Housewife,Yearly
4731,No,24/2/21,136c2e27bf,8d66c87552,86c8be,58,35158.66,179557,,2076b7d098,N,e62e,b629fd,e80a40,63edbcd6f7,b629,0,1,edce,2ed4,Series 2,5060282,d4cd,2864ab,5743,650000,N,0,0,81db,1,1f,Married,Graduate,INDIA,a9,a9,aa,SCHOOL ASSISTENT,,Graduate,N,TELGU,960000,N,Service,Yearly
4732,No,22/1/21,114a2e84d5,9dfcb6dd55,95c77f,2483,26913.32,770797,12,161b3853b9,N,e62e,b78361,418ce8,850a176c71,f7b0,0,0,a48c,803,Series 3,5043036,d4cd,189fac,803,170000,N,0,0,5876,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,AGRICULTURIST,,HSC,N,HINDI,250000,N,Agriculturist,Yearly
4733,No,30/1/21,9d39705748,6f34e366b4,cbae3f,58,29757.1,756550,12,ddd7bdbd86,N,e62e,b78361,8d75ec,028f358f75,f7b0,0,1,edce,803,Series 3,5615094,d4cd,8a5830,803,,N,0,0,5876,0,1f,Married,Graduate,INDIA,a9,a9,aa,CLERK,,Graduate,N,HINDI,420000,N,Service,Yearly
4734,No,29/1/21,0b58ba8eec,f8f86dd273,4f1857,2483,24561.48,738150,12,d2e11adc68,N,,b78361,142181,02f05f28da,f7b0,0,0,edce,803,Series 3,9976066,d4cd,3103b7,803,153000,N,0,0,5876,0,1f,Married,Graduate,INDIA,a9,a9,aa,AGRICULTURIST,,Graduate,N,HINDI,420000,N,Agriculturist,Yearly
4735,No,5/2/21,90609357fa,27fa16e8be,9255c3,2483,50000,832335,10,22323a80d2,N,e62e,aedf2f,6d2e26,20ce87e7bb,c586,1,0,edce,c4e8,Series 2,9987856,d4cd,b363b3,c4e8,0,N,0,0,2734,0,1b,Married,Graduate,INDIA,a9,a9,9c,TEACHER,,Graduate,N,HINDI,480000,N,Service,Yearly
4736,No,8/2/21,42e7b037b6,a72f8e81d5,026e6f,58,17582.92,259578,10,25618cb6e3,N,e62e,f114ce,3be692,222e382b75,eca2,0,1,a48c,2ed4,Series 2,5317311,d4cd,9709ef,5743,1200000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,CONSTABLE,,Graduate,N,HINDI,500000,N,Service,Yearly
4737,No,10/2/21,685c3abd82,a417a8e3ba,1.12E+32,58,13103.34,807559,10,4059810f25,N,e62e,acb844,44f7f2,060767a000,c586,0,1,edce,2ed4,Series 2,5326998,d4cd,4a3ec2,5743,500000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,TRACK MAN,,Graduate,N,HINDI,360000,N,Service,Yearly
4738,No,9/2/21,f6ed9cfad5,e5b258ab85,972b01,58,300000,,10,550bfa592e,N,e62e,b629fd,bc3a8c,94dbd71fdd,b629,0,1,edce,c4e8,Series 2,9998961,d4cd,7b4d3f,c4e8,0,Y,0,0,,0,1f,Married,PG / Professional,NRI,a9,a9,aa,DOCTOR,,Post Graduate,N,TELGU,1500000,N,Service,Yearly
4739,No,4/2/21,2b896dfbf7,fdca12ee04,b94056,58,50000,729559,10,118240043a,N,e62e,b78361,6949c2,0c4faf80e6,f7b0,0,1,a48c,c4e8,Series 2,5404725,d4cd,,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,RETIRED,,Graduate,N,HINDI,500000,N,Retired,Yearly
4740,No,8/2/21,949d5194e7,5aa751af62,4cea30,2483,11484.72,262885,10,f448b41499,N,e62e,766048,b41b8f,e722737b5c,047e,0,0,edce,2ed4,Series 2,5892238,d4cd,dda782,5743,800000,N,0,0,81db,0,12,Single,Graduate,INDIA,a9,a9,aa,GENERAL DUTY,,Graduate,N,GUJARATI,540000,N,Army,Yearly
4741,No,8/2/21,7d3127f0dd,80863bbff1,17773,58,5000,260559,15,0a6ae8296e,N,f3e3,766048,0e218f,05a605d063,047e,0,1,edce,2ed4,Series 2,5,d4cd,1a1343,5743,200000,N,0,0,b68b,1,1f,Married,School (upto 10th),INDIA,a9,a9,aa,,,SSC,N,GUJARATI,180000,N,Business,Yearly
4742,No,5/2/21,b7e9b53b78,0ea1b9d9f6,994584,58,50000,739659,20,eed2b1422b,N,331f,b78361,7e495a,5b29a281c5,f7b0,0,0,a48c,c4e8,Series 2,5372627,d4cd,9a9c42,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,WOOD SUPPLYER,,Graduate,N,HINDI,360000,N,Business,Yearly
4743,No,4/2/21,621ac689f4,ce85fd597f,80aa20,2483,29418.83,737902,12,dbec9966bf,N,e62e,b78361,59ddac,db6d16dc44,f7b0,0,1,edce,803,Series 3,9571171,d4cd,aebe24,803,189000,N,0,0,5876,0,12,Single,Graduate,INDIA,a9,a9,aa,OWNER,,Graduate,N,HINDI,300000,N,Business,Yearly
4744,No,31/1/21,2edb7fa5da,0704a85d8d,7412b2,2483,10214.78,227457,10,c5f4f99019,N,e62e,f114ce,390102,268f6a0363,eca2,0,1,edce,2ed4,Series 2,9912427,d4cd,f6e22c,5743,600000,N,0,0,81db,0,fc,Married,PG / Professional,INDIA,a9,a9,aa,TECHNICAL HELPER,,Post Graduate,N,ENGLISH,500000,N,Service,Yearly
4745,No,8/2/21,85af3a2fe0,673d0c4db4,dd189d,58,100000,178959,10,cf4b2f05d0,N,e62e,b629fd,8ebaf0,8ef4e4d025,b629,0,1,a48c,c4e8,Series 2,5380336,d4cd,bda6d4,c4e8,0,N,0,0,2734,0,c7,widowed,PG / Professional,INDIA,a9,a9,9c,GOVT. SCHOOL TEACHER,,Post Graduate,N,TELGU,540000,N,Service,Yearly
4746,No,4/2/21,85925c5c4e,85c034780f,5cb653,2483,100000,288523,10,4e50fba30e,N,e62e,f114ce,284215,ae1dc47e41,eca2,0,1,a48c,c4e8,Series 2,9981954,d4cd,9709ef,c4e8,0,N,0,0,2734,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,RETIRED,,HSC,N,HINDI,600000,N,Retired,Yearly
4747,No,8/2/21,b6d4195d36,0baab8ff07,026e6f,58,12704.56,259854,10,d8e048b0c1,N,e62e,f114ce,43b0ea,5cb219dcd5,eca2,0,1,edce,2ed4,Series 2,5002005,d4cd,f6e22c,5743,700000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,VM/AFV,,Graduate,N,HINDI,492000,N,Army,Yearly
4748,No,4/2/21,2e821db7f7,d08ae5ee86,86c8be,58,30000,179956,12,29d9fd804b,N,e62e,b629fd,5cd88e,a7224c851c,b629,0,1,a48c,c4e8,Series 2,5321606,d4cd,2864ab,c4e8,300000,N,0,0,efc5,0,1b,Married,Graduate,INDIA,a9,a9,9c,WARD HEALTH SECRETARY,,Graduate,N,TELGU,360000,N,Service,Yearly
4749,No,5/2/21,2d9d26c4ba,68a12f02cd,abab0e,58,60000,867558,10,c45a424dcd,N,e62e,aedf2f,8d48d1,31e745fb1e,c586,0,1,a48c,c4e8,Series 2,9594142,d4cd,2a5e2e,c4e8,0,N,0,0,2734,0,3d,Married,Graduate,INDIA,a9,a9,aa,RETIRED,,Graduate,N,HINDI,600000,N,Retired,Yearly
4750,No,16/2/21,f6b619003e,f527ea9831,c20544,58,150000,257559,10,6877842840,N,e62e,f114ce,20aea3,538d195ef9,eca2,0,1,a48c,c4e8,Series 2,5310706,d4cd,f6e22c,c4e8,0,N,0,0,,0,3d,widowed,Intermediate (10+2),INDIA,a9,a9,9c,RETIRED,,HSC,N,HINDI,600000,N,Retired,Yearly
4751,No,14/1/21,43e19ff60b,fa41bf8166,2ea4bf,58,62242.14,127559,15,0f99c4bb15,N,331f,b629fd,7e495a,554d060a27,b629,0,1,a48c,803,Series 3,5971343,d4cd,40840d,803,650000,N,0,0,5876,0,,Married,,INDIA,a9,a9,,DY SO,,Post Graduate/Professional,N,TELGU,1200000,N,Service,Yearly
4752,No,29/1/21,68096def8a,04ed329455,5cb653,2483,17038.94,288559,15,b3ba78b9cf,N,e62e,f114ce,80df1e,d1bb0b9340,eca2,0,1,a48c,2ed4,Series 3,5398169,d4cd,f6e22c,66c3,100000,N,0,0,a7d8,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,AGRICULTURIST,,SSC,N,HINDI,312000,N,Agriculturist,Yearly
4753,No,30/1/21,78b64aaa5b,d68aeef888,4fcfa5,2483,4505.24,809339,15,ff2f2225e2,N,,acb844,99f20a,966bc0b31a,c586,0,1,edce,2ed4,Series 3,5388290,d4cd,84a991,5743,2000000,N,0,0,b7e7,0,fc,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,HINDI,360000,N,Service,Yearly
4754,No,13/2/21,8fa78631c3,a97677cefe,f719ce,2483,19780.78,757899,10,4bcfc7bdfe,N,e62e,b78361,d57762,c9a95766af,f7b0,0,1,edce,2ed4,Series 2,5320925,d4cd,ecb8c7,5743,1350000,N,0,0,81db,0,12,Married,Graduate,INDIA,a9,a9,aa,ASSISTANT LOCO PILOT,,Graduate,N,HINDI,720000,N,Service,Yearly
4755,No,28/1/21,1be38dcac5,6eed0a7a39,ad588e,2483,40000,228257,10,91cbbd1973,N,e62e,f114ce,e1f507,82ceb35e09,eca2,0,0,a48c,c4e8,Series 2,5624345,d4cd,f7f79e,c4e8,0,N,0,0,2734,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,RETIRED,,HSC,N,HINDI,300000,N,Retired,Yearly
4756,No,2/2/21,c988e28f03,6fc9e35d4d,68467e,2483,5000,204553,15,485a55ca4f,N,331f,766048,7e495a,7e89fdca77,047e,0,1,a48c,2ed4,Series 2,5799809,d4cd,54ccbf,5743,350000,N,0,0,b68b,0,fc,Married,Intermediate (10+2),INDIA,a9,a9,9c,,,HSC,N,GUJARATI,300000,N,Housewife,Yearly
4757,No,1/2/21,a22baa7144,12e718e610,701784,58,51000,756579,12,80fad0b194,N,331f,b78361,7e495a,474f1334ce,f7b0,0,1,edce,c4e8,Series 2,5610663,d4cd,8a5830,c4e8,510000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,PROPERTY DEALER,2,Graduate,N,ENGLISH,400000,N,Self-Employed,Yearly
4758,No,29/1/21,fea1d8bd6e,11454a3260,c20544,58,104295.12,252226,12,7afb0aa733,N,e62e,f114ce,742f37,e4e9169795,eca2,0,1,a48c,2ed4,Series 1,5003576,37bf,f6e22c,803,711000,N,0,0,671a,0,1f,Married,Graduate,INDIA,a9,a9,aa,STAFF,,Graduate,N,HINDI,720000,N,Service,Monthly
4759,Yes,12/3/21,c5a51497da,d47df525ee,f363fd,58,,193157,10,060a2a3100,N,e62e,b629fd,5f1078,4b976e6d73,b629,0,1,edce,c4e8,Plan T - Series 2,5317459,d4cd,a4bbee,c4e8,300000,N,0,0,e548,0,1b,Married,PG / Professional,INDIA,a9,a9,9c,SUNITHA KADALAI MITTY,,Post Graduate,N,TELGU,816000,N,Business,Yearly
4760,Yes,29/1/21,92f50924fe,3170b949b2,1e3f90,58,30000,919754,17,41f9e95928,N,e62e,7e2fba,a2c57c,4b8e817b8a,eca2,0,0,edce,c4e8,Series 3,5312029,d4cd,f7f79e,c4e8,300000,N,0,0,d2a9,0,c7,Married,Graduate,INDIA,a9,a9,aa,ARMED GUARD,,Graduate,N,HINDI,600000,N,Service,Yearly
4761,No,28/1/21,ea68477adf,d4213c81c1,4fcfa5,58,156000,805554,10,92a45c74e6,N,f3e3,acb844,77606f,38dc2c7290,c586,0,1,a48c,c4e8,Series 2,5,d4cd,315d9d,c4e8,0,N,0,0,2734,0,1b,Married,Graduate,INDIA,a9,a9,9c,SCALE 3,,Graduate,N,ENGLISH,840000,N,Service,Yearly
4762,No,30/1/21,253c6f1b4a,1df1bf6b27,ad588e,58,23925.98,228559,10,5cdd269191,N,e62e,f114ce,47ce0f,08de71f7c5,eca2,0,0,edce,,Series 2,9726169,d4cd,f7f79e,5743,212000,N,0,0,81db,0,3d,widowed,Intermediate (10+2),INDIA,a9,a9,9c,SWEEPER,,HSC,N,HINDI,423744,N,Service,Yearly
4763,No,1/2/21,d9c32176f1,6c1334da9a,701784,58,150000,756595,15,2fa3467b95,N,331f,b78361,7e495a,9038bbee79,f7b0,0,1,a48c,c4e8,Plan Gold Cover - Series 3,5143343,d4cd,8a5830,c4e8,1500000,N,0,0,2a44,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,SALES AND SUPERVISION,,Post Graduate,N,HINDI,430000,N,Business,Yearly
4764,No,2/2/21,9c263052c8,22e478093e,2f8b93,,100000,879759,10,dd7d16c885,N,e62e,c0a4a4,cb704d,2cd8ba191e,0ff1,0,1,,c4e8,Series 2,9912726,d4cd,c70f9c,c4e8,0,N,0,0,2734,0,fc,Married,Intermediate (10+2),INDIA,a9,a9,aa,RETIRED,,HSC,N,ENGLISH,500000,N,Retired,Yearly
4765,No,29/1/21,f3d03eb652,c34c7e5c7a,0ff3a2,2483,5000,247915,15,6aa97d0455,N,331f,766048,7e495a,8ad0eb50da,047e,0,0,a48c,2ed4,Series 2,9955125,d4cd,d0bda7,5743,350000,N,0,0,b68b,0,1f,Married,Graduate,INDIA,a9,a9,aa,,,Graduate,N,GUJARATI,240000,N,Business,Yearly
4766,No,11/2/21,90802d2bca,86c757b02e,8374b3,7.00E+49,1050.2,882257,105,2e34c1b822,N,a3d7,c0a4a4,7e495a,1ace0f1ae4,0ff1,0,,edce,2ed4,Series 1,5,738a,c5f8bb,803,250000,N,0,0,5b2a,0,3d,Married,Uneducated,INDIA,a9,a9,9c,,,(None),N,ENGLISH,0,N,,Single
4767,No,29/1/21,37b9d18431,d7fc6a2c26,2a7fca,58,51125,819444,12,6ace07a273,N,e62e,aedf2f,7924a3,7b37b29a1c,c586,0,0,a48c,2ed4,Series 3,,d4cd,b7e9a7,803,300000,N,0,0,56ca,0,1f,Married,Graduate,INDIA,a9,a9,aa,ASSISTANT TEACHER,,Graduate,N,HINDI,456000,N,Service,Yearly
4768,No,31/1/21,cc833e34a9,085885f5f8,5e64fb,58,20295.96,235415,15,c13eb54ade,N,331f,766048,7e495a,b818a1aa9c,047e,0,1,edce,2ed4,Series 3,5723880,37bf,98370e,66c3,220000,N,0,0,7d8e,0,46,Single,Graduate,INDIA,a9,a9,aa,RECEPTIONIST,,Graduate,N,GUJARATI,300000,N,Service,Monthly
4769,No,2/2/21,0fd472c26f,8706116043,dd189d,58,22571.68,178558,10,50fafbe6f2,N,e62e,b629fd,0de539,d99ff3b051,b629,0,0,a48c,2ed4,,5615477,d4cd,a4bbee,5743,500000,N,0,0,81db,0,1f,Married,Graduate,INDIA,,a9,aa,OFFICE SUBORDINATE,,Graduate,N,TELGU,240000,N,Service,Yearly
4770,No,5/2/21,52f3e61a29,27a0dddf4c,a565f9,,150000,194991,15,cee6527d11,N,331f,b629fd,7e495a,2923c0886a,b629,0,1,edce,c4e8,Series 2,5878093,d4cd,92104b,c4e8,0,Y,0,0,2734,0,3d,Married,,INDIA,a9,a9,9c,GYNAECOLOGIST,,Post Graduate/Professional,N,TELGU,4300000,N,Profession,Yearly
4771,No,3/2/21,f667818eb0,9edc46318b,026e6f,2483,150000,259852,12,a7d297e783,N,e62e,f114ce,4.52E+05,ad8d7fe883,eca2,0,1,5fd3,c4e8,Series 2,9976150,d4cd,f6e22c,c4e8,1500000,N,0,0,efc5,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,GROUND DUTY,,HSC,N,ENGLISH,840000,N,Army,Yearly
4772,No,3/2/21,224ff1fb77,9d76e24d44,aa240e,58,50000,299559,12,21d1b34c97,N,e62e,f114ce,b53a17,e87605dcf4,eca2,0,1,edce,c4e8,Series 2,5682594,d4cd,9dc9f7,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,OWNER,,Graduate,N,HINDI,480000,N,Business,Yearly
4773,No,13/2/21,a8123c41f9,02657e9c51,93731,58,10901.9,816443,21,8e2feb61c0,N,331f,aedf2f,7e495a,6a8e65e78b,c586,0,1,edce,2ed4,Series 3,5095622,d4cd,543240,66c3,200000,N,0,0,f6f8,1,c7,Married,Intermediate (10+2),INDIA,a9,a9,aa,AGRICULTURIST,,HSC,N,HINDI,300000,N,Agriculturist,Yearly
4774,No,3/2/21,0cd69ee1f7,c52f0fca74,0d90d2,58,70000,128759,12,52c409a992,N,e62e,b629fd,b2fe95,0cdfc9a527,b629,0,1,edce,c4e8,Series 2,9702143,d4cd,2864ab,c4e8,700000,N,0,0,efc5,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,ASSOCIATE PROFESSOR,,Post Graduate,N,TELGU,1800000,N,Service,Yearly
4775,No,3/2/21,7635561491,9d50f1b748,66a8cd,58,35187.24,784980,17,c570356110,N,f3e3,2.26E+67,68b9e0,f127b21369,f7b0,0,1,a48c,2ed4,Series 3,5,37bf,82a624,66c3,477000,N,0,0,f6f8,0,c7,Married,Graduate,INDIA,a9,a9,aa,ASSISTANT SUB INSPECTOR,,Graduate,N,HINDI,4800000,N,BSF,Monthly
4776,No,8/2/21,dcad9d524f,9d871c4c27,468f56,58,150000,154217,12,e4f064582b,N,331f,e2d2a5,7e495a,a13368bf85,eca2,0,1,edce,c4e8,Plan Gold Cover - Series 3,5809624,d4cd,9709ef,c4e8,1500000,N,0,0,2a44,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,DOCTOR,,Post Graduate,N,HINDI,1200000,N,Service,Yearly
4777,No,3/2/21,9301a348b0,e53b30b4b5,740910,2483,72000,804228,10,15444b3124,N,331f,acb844,7e495a,5693de35af,c586,0,1,edce,c4e8,Plan S - Series 2,5630868,37bf,213b79,c4e8,720000,N,0,0,becc,0,1f,Married,Intermediate (10+2),INDIA,a9,,aa,SELF-EMPLOYED,,HSC,N,HINDI,240000,N,Self-Employed,Monthly
4778,No,2/2/21,e8c3ff7188,4679dbee44,c268e0,58,50000,278557,12,8af86227f4,N,e62e,f114ce,a1eb0e,536bc8edf3,eca2,0,1,a48c,c4e8,Series 2,5359411,d4cd,c055e1,c4e8,500000,N,0,0,efc5,0,12,Single,PG / Professional,INDIA,a9,a9,aa,SOFTWARE TESTER,,Post Graduate,N,HINDI,480000,N,Service,Yearly
4779,No,4/2/21,204553f758,f8ae01b797,1.12E+32,58,200000,807559,28,bb0dfac2bd,N,331f,acb844,7e495a,7dbb3deff8,c586,0,0,a48c,c4e8,Series 2,5383570,d4cd,4a3ec2,c4e8,2000000,N,0,0,efc5,0,fc,Married,Graduate,INDIA,a9,a9,9c,PROPRIETOR OF NEEL CHAKRA PVT.,,Graduate,N,ENGLISH,1200000,N,Business,Yearly
4780,No,3/2/21,e3b1b9a4fa,2cbde42608,7ac09e,58,51125,754971,12,35f293359f,N,e62e,b78361,4f5028,d60a1f2c1f,f7b0,0,0,a48c,2ed4,Series 3,9726141,d4cd,8a5830,,315000,N,0,0,56ca,0,1f,Married,Graduate,INDIA,a9,a9,aa,CONSTABLE,,Graduate,N,ENGLISH,480000,N,Service,Yearly
4781,No,5/2/21,936cd191f7,95a384931e,da9107,58,12253.64,774577,10,2415fa02d5,N,e62e,b78361,e42d36,f7e4ca65c4,f7b0,0,,edce,2ed4,Series 2,5618930,d4cd,88af36,5743,800000,N,0,0,81db,0,1b,Married,Graduate,INDIA,a9,a9,9c,ASST TEACHER,,Graduate,N,HINDI,960000,N,Service,Yearly
4782,No,10/3/21,ebae33cd41,ab3ab2ca6f,36cbed,58,50000,749252,12,02c03bd891,N,e62e,b78361,b2ff55,24c44a4528,f7b0,0,1,edce,c4e8,Series 2,5182328,d4cd,82a624,c4e8,500000,N,0,0,efc5,1,1f,Married,School (upto 10th),INDIA,a9,a9,aa,BUSINESS,,Below SSC,N,HINDI,480000,N,Business,Yearly
